sampleID	g_Methanobrevibacter	g_Methanosphaera	g_Actinomyces	g_Bifidobacterium	g_Corynebacterium	g_Atopobium	g_Coriobacteriaceae UCG-002	g_Olsenella	f_Atopobiaceae	g_Collinsella	g_Enterorhabdus	g_Paraeggerthella	g_Parvibacter	f_Eggerthellaceae;g_uncultured	f_Eggerthellaceae	p_Actinobacteria	g_Bacteroides	g_Odoribacter	g_Muribaculum	f_Muribaculaceae;g_mouse gut metagenome	f_Muribaculaceae;g_uncultured Bacteroidales bacterium	f_Muribaculaceae;g_uncultured bacterium	f_Muribaculaceae	g_Porphyromonas	g_Alloprevotella	g_Prevotella 7	g_Prevotellaceae UCG-001	f_Prevotellaceae	g_Alistipes	g_Rikenellaceae RC9 gut group	f_Rikenellaceae;g_SP3-e08	f_Rikenellaceae	g_Parabacteroides	f_Tannerellaceae	o_Bacteroidales;f_uncultured;g_uncultured bacterium	o_Bacteroidales	c_Bacteroidia	o_Gastranaerophilales;f_uncultured bacterium;g_uncultured bacterium	o_Gastranaerophilales	g_Mucispirillum	g_Bacillus	g_Staphylococcus	g_Enterococcus	g_Lactobacillus	g_Streptococcus	o_Lactobacillales	c_Bacilli	g_Christensenellaceae R-7 group	f_Christensenellaceae;g_uncultured bacterium	g_Clostridium sensu stricto 1	f_Clostridiaceae 1	f_Clostridiales vadinBB60 group;g_uncultured Clostridia bacterium	f_Clostridiales vadinBB60 group;g_uncultured bacterium	f_Clostridiales vadinBB60 group	g_Defluviitaleaceae UCG-011	g_Anaerofustis	g_Anaerovorax	o_Clostridiales;f_Family XIII;g_Family XIII AD3011 group	o_Clostridiales;f_Family XIII;g_Family XIII UCG-001	g_[Eubacterium] brachy group	g_[Eubacterium] nodatum group	f_Family XIII	f_Lachnospiraceae;g_A2	f_Lachnospiraceae;g_ASF356	g_Acetatifactor	g_Blautia	g_Cellulosilyticum	g_Coprococcus 3	f_Lachnospiraceae;g_GCA-900066575	g_Lachnoclostridium	g_Lachnospiraceae FCS020 group	g_Lachnospiraceae NC2004 group	g_Lachnospiraceae NK4A136 group	g_Lachnospiraceae UCG-001	g_Lachnospiraceae UCG-004	g_Lachnospiraceae UCG-006	g_Lachnospiraceae UCG-010	g_Marvinbryantia	g_Roseburia	g_Tyzzerella	g_Tyzzerella 3	g_[Eubacterium] oxidoreducens group	g_[Eubacterium] xylanophilum group	g_[Ruminococcus] gauvreauii group	f_Lachnospiraceae;g_uncultured	f_Lachnospiraceae;g_uncultured bacterium	f_Lachnospiraceae	g_Peptococcus	f_Peptococcaceae;g_uncultured	f_Peptococcaceae	g_Romboutsia	f_Peptostreptococcaceae;g_uncultured	f_Peptostreptococcaceae	g_Anaerotruncus	g_Angelakisella	g_Butyricicoccus	g_Candidatus Soleaferrea	g_Faecalibacterium	f_Ruminococcaceae;g_GCA-900066225	g_Harryflintia	g_Hydrogenoanaerobacterium	g_Intestinimonas	g_Negativibacillus	g_Oscillibacter	g_Ruminiclostridium	g_Ruminiclostridium 1	g_Ruminiclostridium 5	g_Ruminiclostridium 6	g_Ruminiclostridium 9	g_Ruminococcaceae NK4A214 group	g_Ruminococcaceae UCG-002	g_Ruminococcaceae UCG-003	g_Ruminococcaceae UCG-004	g_Ruminococcaceae UCG-005	g_Ruminococcaceae UCG-009	g_Ruminococcaceae UCG-010	g_Ruminococcaceae UCG-013	g_Ruminococcaceae UCG-014	g_Ruminococcus 1	g_Subdoligranulum	f_Ruminococcaceae;g_UBA1819	g_[Eubacterium] coprostanoligenes group	f_Ruminococcaceae;g_uncultured	f_Ruminococcaceae	o_Clostridiales	g_Candidatus Stoquefichus	g_Catenibacterium	g_Dubosiella	g_Erysipelatoclostridium	g_Erysipelotrichaceae UCG-004	g_Faecalibaculum	g_Turicibacter	f_Erysipelotrichaceae;g_uncultured	f_Erysipelotrichaceae;g_uncultured bacterium	f_Erysipelotrichaceae	p_Firmicutes	g_Fusobacterium	g_Leptotrichia	g_Candidatus Saccharimonas	g_Bradyrhizobium	g_Amaricoccus	g_Azospirillum sp. 47_25	o_Rhodospirillales;f_uncultured;g_uncultured bacterium	o_Rhodospirillales;f_uncultured;g_unidentified rumen bacterium RF32	o_Rhodospirillales;f_uncultured	g_Bilophila	g_Desulfovibrio	f_Desulfovibrionaceae;g_uncultured	f_Desulfovibrionaceae	c_Deltaproteobacteria	g_Parasutterella	g_Neisseria	g_Escherichia-Shigella	f_Enterobacteriaceae	g_Haemophilus	p_Proteobacteria	g_Anaeroplasma	o_Mollicutes RF39;f_metagenome;g_metagenome	o_Mollicutes RF39;f_uncultured Lachnospiraceae bacterium;g_uncultured Lachnospiraceae bacterium	o_Mollicutes RF39;f_uncultured bacterium;g_uncultured bacterium	o_Mollicutes RF39;f_unidentified;g_unidentified	o_Mollicutes RF39	g_Akkermansia	k_Bacteria	k_Eukaryota	Unassigned
529-90min	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	76	63	6	0	35	397	58	0	0	0	242	0	145	33	0	0	0	0	0	0	0	24	0	0	0	0	0	265	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	4	19	0	0	60	7	0	0	0	0	0	0	5	0	0	0	13	0	66	0	4	0	0	0	0	32	8	5	0	0	0	0	0	0	0	0	6	0	20	11	7	4	0	0	0	0	0	0	0	143	11	0	13	32	0	16	0	9	0	0	31	0	2	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	20	0	0	0	0	0	49	0	0	4	0	0	0	0	0	0
529W-120min	0	0	0	0	0	0	0	0	12	0	15	0	0	0	0	0	63	88	5	0	99	221	66	0	0	0	34	0	52	3	0	0	0	0	0	0	0	14	0	0	0	0	0	285	0	0	0	0	0	0	0	0	17	0	0	0	4	0	0	0	3	0	9	6	0	7	0	0	10	41	0	0	248	21	0	9	1	19	39	0	5	0	3	0	55	0	184	0	6	0	0	0	0	5	0	39	1	0	0	0	0	0	0	19	21	0	28	0	10	0	0	17	5	4	9	2	6	25	51	0	7	0	0	23	0	0	0	0	0	0	10	1	13	0	0	0	0	0	2	0	0	0	0	0	0	0	7	20	0	0	13	0	0	0	0	0	44	0	0	1	0	0	0	0	0	0
529W-30min	0	0	0	0	0	0	0	0	16	0	8	0	0	0	0	0	101	32	9	0	187	385	101	0	0	0	73	0	56	14	0	0	0	0	0	0	0	9	0	0	0	0	0	525	0	0	0	0	0	0	0	0	5	0	3	0	0	1	0	0	13	0	1	0	0	3	0	0	0	17	0	0	122	5	0	0	0	25	14	0	3	0	0	0	20	0	47	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	5	5	0	8	0	0	0	0	2	0	4	0	0	11	36	29	0	0	0	0	19	0	9	0	0	0	0	22	1	12	0	0	0	0	0	2	0	0	4	0	0	0	0	1	3	0	0	26	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0
529W-60min	0	0	0	0	0	0	0	0	19	0	20	0	0	0	0	0	41	24	4	0	95	335	75	0	0	0	36	0	46	3	0	0	0	0	0	0	0	9	0	0	0	0	0	707	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	6	0	6	0	0	0	0	0	7	22	0	0	122	6	0	10	0	41	20	0	4	0	2	0	28	0	81	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	10	5	0	22	0	5	0	0	0	0	1	2	2	9	55	38	0	4	0	0	13	0	2	0	0	0	0	25	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	2	5	0	0	13	0	0	0	0	0	12	0	0	3	0	0	0	0	0	0
530-120min	0	0	0	0	0	0	0	0	19	0	7	0	0	0	0	0	353	0	0	0	10	456	59	0	11	0	78	0	66	85	0	0	22	0	0	0	0	23	0	0	0	0	12	177	1	0	0	2	0	0	0	0	0	0	4	0	0	2	0	1	9	0	6	0	0	0	0	0	0	0	0	0	115	0	0	0	0	9	0	0	0	0	3	0	0	0	49	0	3	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	13	4	0	0	2	0	5	0	5	0	0	44	0	134	0	13	2	61	0	0	0	0	0	0	13	0	0	0	0	0	27	0	0	48	0	50	0	0	0	4	0	0	0	0	0	0	0	0	0
530-30min	0	0	0	0	0	0	0	0	18	0	4	0	0	0	0	0	361	1	0	0	16	579	45	0	6	0	84	0	96	117	0	0	16	0	0	0	0	18	0	0	0	0	8	79	0	0	0	0	2	0	0	0	0	0	4	0	0	4	0	0	3	0	3	0	0	0	0	0	0	0	0	0	62	0	0	0	0	5	0	0	0	0	6	0	0	0	18	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	4	0	0	3	0	0	0	6	0	0	62	0	154	0	8	0	60	0	0	0	0	0	0	9	0	0	0	0	0	11	0	0	73	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
530-60min	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	339	1	6	0	15	438	53	0	6	0	88	0	62	123	0	0	22	0	0	0	0	10	0	0	0	0	14	141	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	8	0	8	3	0	2	0	0	0	0	0	0	152	0	0	0	0	7	0	0	0	0	11	0	8	0	44	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	6	0	0	5	0	0	0	5	0	0	32	0	163	0	7	2	64	0	0	0	0	0	0	10	0	0	0	0	0	16	0	0	33	0	68	0	0	0	1	0	0	0	0	0	0	0	0	0
531-120min	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	214	0	7	0	13	193	9	0	1	0	71	0	33	94	0	0	16	0	0	0	0	24	0	7	0	0	0	320	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	12	59	0	0	151	14	0	5	0	31	21	4	0	0	36	0	6	0	311	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	4	16	5	0	7	0	18	0	0	0	0	0	0	0	0	8	16	0	0	4	1	8	0	97	0	0	99	0	18	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
531-60min	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	309	0	5	0	21	237	8	0	0	0	81	0	48	129	0	0	19	0	0	0	0	12	0	4	0	0	0	163	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	5	0	0	7	80	4	0	128	15	0	4	0	20	12	4	0	0	14	0	21	0	266	0	10	0	0	0	0	5	0	2	0	0	0	0	0	0	3	14	12	0	1	0	22	0	0	0	0	0	4	0	0	5	16	0	0	6	0	23	0	106	0	0	74	0	21	0	0	1	8	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	33	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
533-30min	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	40	106	5	0	60	76	42	0	2	0	0	0	137	12	0	0	0	0	0	0	0	0	0	5	0	0	0	322	1	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	51	3	3	5	0	0	16	44	6	0	162	0	0	13	0	9	44	6	3	0	35	0	47	0	356	2	2	0	0	0	0	3	0	24	0	0	0	0	0	1	0	37	43	0	25	5	14	1	0	0	0	0	11	2	3	57	5	0	1	4	0	65	0	4	0	0	0	0	0	0	6	0	0	0	0	0	9	0	0	0	0	0	0	2	12	8	0	0	5	0	0	0	0	0	4	0	3	13	0	7	0	0	0	0
533-60min	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	14	41	0	0	5	7	7	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	10	0	0	0	139	0	0	0	0	0	0	0	2	10	0	0	0	0	0	3	0	0	0	91	12	4	0	0	0	18	51	5	0	271	0	0	39	0	0	113	9	3	0	47	0	47	0	523	2	4	0	0	0	0	6	5	45	1	0	0	1	0	4	1	35	51	0	27	7	28	0	0	0	0	0	10	0	4	43	5	0	2	1	0	68	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	4	30	3	0	0	0	0	0	0	0	0	2	0	0	5	0	4	0	0	0	0
534-120min	0	0	0	0	0	0	0	0	6	0	21	0	0	0	0	0	122	9	15	0	166	516	133	0	7	0	87	0	95	42	0	0	0	0	0	0	0	9	0	0	0	0	0	407	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	16	3	0	6	0	0	0	0	0	0	30	31	0	0	0	45	10	0	0	0	0	0	0	0	73	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	2	9	0	4	21	16	0	0	23	0	4	0	7	0	0	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
534-60min	0	0	0	0	0	0	0	0	12	0	27	0	0	0	0	0	127	9	16	0	102	503	99	0	4	0	59	0	98	46	0	0	0	0	0	0	0	23	0	0	0	0	0	472	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	42	7	0	0	0	43	3	0	0	0	0	0	7	0	61	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	15	0	0	0	0	1	0	0	0	0	1	0	5	54	20	0	0	39	0	0	0	12	0	0	24	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	49	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
535-120min	0	0	0	0	0	0	0	0	4	0	8	0	0	0	0	0	69	30	25	0	40	335	66	0	0	0	75	0	93	82	0	0	0	0	0	0	0	24	3	3	0	0	0	295	5	0	0	2	0	0	0	0	8	0	5	0	0	2	0	1	4	0	4	0	0	4	0	0	7	0	0	0	73	24	0	0	0	16	40	0	0	0	3	0	1	0	138	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	11	15	0	5	0	2	0	0	0	0	1	2	0	12	211	9	0	0	11	5	7	0	4	0	0	5	0	0	109	4	4	7	0	0	0	1	0	0	7	0	0	0	0	0	4	0	0	14	0	0	0	0	0	60	0	0	11	0	0	0	0	0	0
535-150min	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	81	42	18	0	47	299	67	0	0	0	49	0	125	69	0	0	0	0	0	0	0	9	0	1	0	0	0	272	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	2	0	0	4	0	6	0	119	41	0	2	0	29	52	2	0	0	15	0	1	0	169	0	4	0	0	0	0	16	0	0	0	0	0	0	0	0	0	12	10	0	5	2	8	0	0	2	0	0	2	5	13	200	3	0	2	7	7	8	0	7	0	0	4	0	2	52	0	8	13	0	0	0	5	0	0	3	0	0	0	0	7	19	0	0	11	0	0	0	0	0	51	0	0	5	0	0	0	0	0	0
535-30min	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	109	27	19	0	51	389	90	0	0	0	77	0	114	47	0	0	0	0	0	0	0	9	0	2	0	0	0	211	0	0	0	6	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	3	0	0	0	0	0	0	81	33	0	0	0	30	32	1	0	0	8	0	5	0	141	0	1	0	0	0	0	13	0	0	0	0	0	1	0	0	0	13	6	0	4	1	4	0	0	0	0	0	2	0	13	286	7	0	1	24	4	9	0	6	0	0	5	0	0	33	0	4	19	0	0	0	5	0	0	10	0	0	0	0	0	6	0	0	11	0	0	0	0	0	31	0	0	12	0	0	0	0	0	0
535-60min	0	0	0	0	0	0	0	0	2	0	18	0	0	0	0	0	69	25	11	0	37	304	54	0	0	0	70	0	103	81	0	0	0	0	0	0	0	27	4	5	0	0	0	325	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	107	16	0	0	0	24	34	1	0	0	7	0	0	0	164	0	3	0	0	0	0	23	0	1	0	0	0	1	0	0	0	14	27	0	3	3	6	0	0	0	0	0	2	4	12	206	12	0	4	17	2	8	0	8	0	0	1	0	0	68	0	1	13	0	0	0	3	0	0	2	0	0	0	0	7	8	0	0	11	0	0	0	0	0	51	0	0	10	0	0	0	0	0	0
536-30min	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	185	53	8	0	181	321	88	0	0	0	0	0	111	37	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	7	0	28	10	1	16	0	0	15	9	0	0	75	0	0	8	0	20	12	3	3	0	0	0	10	0	153	0	2	0	0	0	0	5	0	0	0	0	0	0	0	4	0	11	41	0	2	3	9	0	0	0	0	0	9	2	0	41	8	0	0	7	0	34	0	4	0	0	0	0	0	0	1	3	0	0	0	0	16	0	0	0	0	0	0	0	8	3	0	0	18	0	0	0	0	0	9	0	0	18	0	0	0	0	0	0
538-120min	0	0	0	0	0	0	0	0	8	0	20	0	0	0	0	0	27	72	0	0	65	364	43	0	0	0	0	0	55	17	0	0	0	0	0	0	0	0	0	0	0	0	0	274	2	0	0	0	0	0	0	0	31	0	0	0	3	0	0	0	0	0	2	11	4	3	0	0	8	0	5	0	256	5	0	14	0	32	71	0	10	0	14	0	17	0	244	0	10	0	0	0	0	0	6	6	0	0	0	0	0	7	0	9	64	0	9	2	0	4	0	0	0	0	6	6	0	19	37	0	0	0	0	57	0	0	0	0	0	0	5	7	0	0	0	0	0	0	3	0	0	0	0	0	0	1	8	2	0	0	9	0	0	0	0	0	59	0	0	10	0	4	0	0	0	0
538-30min	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	71	56	5	0	105	547	66	0	0	0	7	0	53	19	0	0	0	0	0	0	0	0	0	0	0	0	0	381	1	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	2	0	10	0	2	0	0	0	6	0	0	0	142	0	0	4	0	15	46	0	4	0	7	0	5	0	144	0	4	0	0	0	0	2	0	10	0	0	0	0	0	8	0	4	33	0	3	1	5	0	0	0	0	0	3	1	0	23	46	0	0	0	2	33	0	0	0	0	0	0	9	15	0	1	0	0	0	0	5	0	0	0	0	0	0	0	5	3	0	0	12	0	0	0	0	0	58	0	0	8	0	4	0	0	0	0
538-60min	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	31	65	0	0	49	309	42	0	0	0	3	0	52	17	0	0	0	0	0	0	0	1	0	0	0	0	0	204	2	0	0	0	0	0	0	4	46	0	0	0	0	0	0	0	0	0	4	11	8	4	0	0	1	0	0	0	308	5	0	7	0	23	73	0	10	0	28	0	17	0	282	0	3	0	0	0	0	6	0	21	0	0	3	0	0	2	0	38	62	0	5	3	15	4	0	0	0	0	7	2	0	26	41	0	0	0	3	47	0	0	0	0	0	0	7	12	1	2	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	9	0	0	0	0	0	58	0	0	10	3	6	0	0	0	0
540-120min	0	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	250	2	21	0	34	591	44	0	75	0	113	0	42	48	0	0	0	0	0	0	0	22	0	9	0	0	0	403	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	57	11	0	0	0	17	0	0	0	0	0	0	0	0	29	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	35	7	0	0	13	0	5	0	12	0	0	39	0	6	30	13	0	30	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	27	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
540-240min	0	0	0	0	0	0	0	0	6	0	10	0	0	0	0	0	273	4	14	0	42	547	43	0	74	0	130	0	54	37	0	0	0	0	0	0	0	31	0	27	0	0	0	298	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	7	0	4	0	0	0	12	0	0	52	7	0	0	0	22	0	0	0	0	0	0	0	0	26	0	2	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	38	5	0	0	10	0	8	0	17	0	0	60	0	18	38	16	0	28	0	0	0	3	0	0	0	0	0	0	0	0	12	0	0	32	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
540-30min	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	203	0	16	0	60	549	47	0	68	0	114	0	70	39	0	0	4	0	0	0	0	21	0	19	0	0	0	111	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	11	1	3	0	0	0	17	0	0	247	14	0	2	0	13	0	2	0	0	0	0	2	0	111	0	2	0	0	0	0	6	0	21	2	0	0	0	0	9	0	0	4	0	2	0	0	0	0	0	0	0	1	5	0	31	3	0	0	12	0	0	0	14	0	0	40	0	5	26	22	0	21	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	33	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
540-60min	0	0	0	0	0	0	0	0	6	0	21	0	0	0	0	0	198	4	23	0	31	499	40	0	68	0	86	0	72	48	0	0	0	0	0	0	0	22	0	28	0	0	0	312	0	0	0	0	0	0	0	0	4	0	2	0	0	1	0	0	4	0	0	0	0	6	0	0	0	16	0	0	157	8	0	0	0	23	0	0	0	0	0	0	5	0	91	0	1	0	0	0	0	2	0	5	0	0	0	0	0	3	6	3	0	0	0	0	0	0	0	0	0	0	0	4	0	35	7	0	1	8	0	9	0	23	0	0	37	0	3	33	12	0	26	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
541-30min	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	30	72	0	0	69	66	38	0	0	0	0	0	61	13	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	39	0	0	0	0	0	4	0	3	0	16	11	8	37	0	0	27	21	0	0	281	0	0	11	0	5	88	0	10	0	15	0	42	0	423	2	6	0	0	0	0	5	0	17	1	0	0	0	0	0	0	36	56	0	21	5	18	0	0	0	0	0	9	3	4	102	22	0	3	3	0	54	0	2	0	0	0	0	0	0	9	0	0	0	0	0	6	0	0	0	0	0	0	4	27	0	0	0	0	0	0	0	0	0	10	0	0	18	3	5	0	0	0	0
541-60min	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	21	41	0	0	26	28	20	0	0	0	0	0	66	5	0	0	0	0	0	0	0	0	0	0	0	0	0	262	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	5	0	24	0	0	36	0	0	26	58	0	0	288	0	0	22	3	4	129	0	11	0	14	0	79	0	446	0	3	0	0	0	0	5	0	17	0	0	0	0	0	0	0	21	65	0	13	8	32	0	0	0	0	0	10	2	0	75	13	0	5	0	0	71	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	11	0	0	10	2	0	0	0	0	0
542-120min	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	225	10	8	0	15	442	35	0	159	0	95	0	143	91	0	0	6	0	0	0	0	71	0	12	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	16	0	0	0	0	0	0	58	4	0	0	0	23	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	17	33	0	0	25	0	0	0	0	0	0	32	0	43	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
542-180min	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	298	9	0	0	13	395	50	0	137	0	84	0	112	86	0	0	6	0	0	0	0	96	0	23	0	0	0	153	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	10	9	0	12	0	0	0	0	0	0	34	3	0	0	0	29	0	0	0	0	0	0	3	0	152	0	0	0	0	0	0	4	1	1	0	0	0	2	0	0	0	4	0	0	2	0	8	0	0	0	0	0	1	3	6	21	48	0	0	19	0	3	0	4	0	0	48	0	38	0	1	0	48	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
542-30min	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	0	251	10	3	0	24	439	69	0	119	0	100	0	139	94	0	0	2	0	0	0	0	79	0	19	0	0	0	28	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	8	0	13	14	0	12	0	0	3	0	0	0	66	10	0	2	0	28	0	0	0	0	0	0	3	0	173	0	3	0	0	0	0	20	2	5	0	0	0	0	0	0	4	0	0	0	2	0	7	0	0	0	0	0	3	0	1	20	26	0	0	9	0	9	0	6	0	0	65	0	19	0	4	0	44	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
542-60min	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	195	5	5	0	21	480	53	0	132	0	92	0	149	74	0	0	5	0	0	0	0	66	0	5	0	0	0	182	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	6	10	0	9	0	0	3	0	0	0	60	2	0	0	0	29	0	0	0	0	0	0	1	0	135	0	3	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	1	3	6	0	0	0	0	0	2	3	5	32	33	0	0	27	0	5	0	0	0	0	34	0	27	0	2	0	52	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543-60min	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	7	38	0	0	8	13	16	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	7	0	0	0	193	2	0	0	0	0	0	0	0	25	0	0	0	0	0	2	3	0	0	94	0	10	65	0	0	25	57	0	0	287	0	0	0	0	5	67	0	7	0	8	0	53	0	514	0	7	0	0	0	0	0	0	28	0	0	0	0	0	0	0	26	61	0	22	0	28	0	0	0	0	0	19	0	0	29	12	0	0	0	0	85	0	0	0	0	0	0	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544-30min	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	57	93	0	0	124	207	51	0	2	0	0	0	90	9	0	0	0	0	0	0	0	0	0	0	0	0	0	315	4	0	0	0	0	0	0	1	18	8	0	0	0	0	3	1	3	0	0	17	0	21	0	0	6	39	5	0	138	0	0	13	0	0	41	1	0	0	6	0	39	0	391	0	5	0	0	0	0	3	3	6	0	0	0	0	0	0	0	25	51	0	6	2	14	0	0	0	0	0	10	3	0	31	0	0	2	1	0	64	0	3	0	0	0	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	0	0	11	0	0	0	0	0	19	0	6	19	2	5	0	0	0	0
544-60min	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	16	45	0	0	22	46	23	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	1	0	0	0	0	0	0	0	15	5	0	0	0	0	2	1	0	0	21	12	11	27	0	0	20	98	0	0	245	5	0	41	0	0	86	2	0	0	13	0	46	0	625	1	5	0	0	0	0	6	0	8	0	0	0	0	0	6	0	25	99	0	17	0	28	0	0	0	0	0	9	0	0	40	0	0	0	0	0	80	0	0	0	0	0	0	0	0	7	3	0	0	0	0	7	0	0	0	0	0	0	2	25	0	0	0	2	0	0	0	0	0	12	0	4	8	0	0	0	0	0	0
