sampleID	g_Methanobrevibacter	g_Methanosphaera	g_Actinomyces	g_Bifidobacterium	g_Corynebacterium	g_Atopobium	g_Coriobacteriaceae UCG-002	g_Olsenella	f_Atopobiaceae	g_Collinsella	g_Enterorhabdus	g_Paraeggerthella	g_Parvibacter	f_Eggerthellaceae;g_uncultured	f_Eggerthellaceae	p_Actinobacteria	g_Bacteroides	g_Odoribacter	g_Muribaculum	f_Muribaculaceae;g_mouse gut metagenome	f_Muribaculaceae;g_uncultured Bacteroidales bacterium	f_Muribaculaceae;g_uncultured bacterium	f_Muribaculaceae	g_Porphyromonas	g_Alloprevotella	g_Prevotella 7	g_Prevotellaceae UCG-001	f_Prevotellaceae	g_Alistipes	g_Rikenellaceae RC9 gut group	f_Rikenellaceae;g_SP3-e08	f_Rikenellaceae	g_Parabacteroides	f_Tannerellaceae	o_Bacteroidales;f_uncultured;g_uncultured bacterium	o_Bacteroidales	c_Bacteroidia	o_Gastranaerophilales;f_uncultured bacterium;g_uncultured bacterium	o_Gastranaerophilales	g_Mucispirillum	g_Bacillus	g_Staphylococcus	g_Enterococcus	g_Lactobacillus	g_Streptococcus	o_Lactobacillales	c_Bacilli	g_Christensenellaceae R-7 group	f_Christensenellaceae;g_uncultured bacterium	g_Clostridium sensu stricto 1	f_Clostridiaceae 1	f_Clostridiales vadinBB60 group;g_uncultured Clostridia bacterium	f_Clostridiales vadinBB60 group;g_uncultured bacterium	f_Clostridiales vadinBB60 group	g_Defluviitaleaceae UCG-011	g_Anaerofustis	g_Anaerovorax	o_Clostridiales;f_Family XIII;g_Family XIII AD3011 group	o_Clostridiales;f_Family XIII;g_Family XIII UCG-001	g_[Eubacterium] brachy group	g_[Eubacterium] nodatum group	f_Family XIII	f_Lachnospiraceae;g_A2	f_Lachnospiraceae;g_ASF356	g_Acetatifactor	g_Blautia	g_Cellulosilyticum	g_Coprococcus 3	f_Lachnospiraceae;g_GCA-900066575	g_Lachnoclostridium	g_Lachnospiraceae FCS020 group	g_Lachnospiraceae NC2004 group	g_Lachnospiraceae NK4A136 group	g_Lachnospiraceae UCG-001	g_Lachnospiraceae UCG-004	g_Lachnospiraceae UCG-006	g_Lachnospiraceae UCG-010	g_Marvinbryantia	g_Roseburia	g_Tyzzerella	g_Tyzzerella 3	g_[Eubacterium] oxidoreducens group	g_[Eubacterium] xylanophilum group	g_[Ruminococcus] gauvreauii group	f_Lachnospiraceae;g_uncultured	f_Lachnospiraceae;g_uncultured bacterium	f_Lachnospiraceae	g_Peptococcus	f_Peptococcaceae;g_uncultured	f_Peptococcaceae	g_Romboutsia	f_Peptostreptococcaceae;g_uncultured	f_Peptostreptococcaceae	g_Anaerotruncus	g_Angelakisella	g_Butyricicoccus	g_Candidatus Soleaferrea	g_Faecalibacterium	f_Ruminococcaceae;g_GCA-900066225	g_Harryflintia	g_Hydrogenoanaerobacterium	g_Intestinimonas	g_Negativibacillus	g_Oscillibacter	g_Ruminiclostridium	g_Ruminiclostridium 1	g_Ruminiclostridium 5	g_Ruminiclostridium 6	g_Ruminiclostridium 9	g_Ruminococcaceae NK4A214 group	g_Ruminococcaceae UCG-002	g_Ruminococcaceae UCG-003	g_Ruminococcaceae UCG-004	g_Ruminococcaceae UCG-005	g_Ruminococcaceae UCG-009	g_Ruminococcaceae UCG-010	g_Ruminococcaceae UCG-013	g_Ruminococcaceae UCG-014	g_Ruminococcus 1	g_Subdoligranulum	f_Ruminococcaceae;g_UBA1819	g_[Eubacterium] coprostanoligenes group	f_Ruminococcaceae;g_uncultured	f_Ruminococcaceae	o_Clostridiales	g_Candidatus Stoquefichus	g_Catenibacterium	g_Dubosiella	g_Erysipelatoclostridium	g_Erysipelotrichaceae UCG-004	g_Faecalibaculum	g_Turicibacter	f_Erysipelotrichaceae;g_uncultured	f_Erysipelotrichaceae;g_uncultured bacterium	f_Erysipelotrichaceae	p_Firmicutes	g_Fusobacterium	g_Leptotrichia	g_Candidatus Saccharimonas	g_Bradyrhizobium	g_Amaricoccus	g_Azospirillum sp. 47_25	o_Rhodospirillales;f_uncultured;g_uncultured bacterium	o_Rhodospirillales;f_uncultured;g_unidentified rumen bacterium RF32	o_Rhodospirillales;f_uncultured	g_Bilophila	g_Desulfovibrio	f_Desulfovibrionaceae;g_uncultured	f_Desulfovibrionaceae	c_Deltaproteobacteria	g_Parasutterella	g_Neisseria	g_Escherichia-Shigella	f_Enterobacteriaceae	g_Haemophilus	p_Proteobacteria	g_Anaeroplasma	o_Mollicutes RF39;f_metagenome;g_metagenome	o_Mollicutes RF39;f_uncultured Lachnospiraceae bacterium;g_uncultured Lachnospiraceae bacterium	o_Mollicutes RF39;f_uncultured bacterium;g_uncultured bacterium	o_Mollicutes RF39;f_unidentified;g_unidentified	o_Mollicutes RF39	g_Akkermansia	k_Bacteria	k_Eukaryota	Unassigned
521-60min	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	54	15	11	0	47	234	96	0	5	0	70	0	182	11	0	0	0	0	0	0	0	7	0	0	0	0	0	592	0	0	0	0	0	0	0	0	5	0	2	0	0	3	0	0	5	0	8	1	0	0	0	0	6	0	0	0	99	18	0	0	0	20	36	0	4	0	0	0	7	0	92	0	4	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	18	0	25	7	0	1	0	8	0	3	1	5	7	158	23	0	5	0	0	15	0	0	0	0	0	0	4	61	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	13	0	0	3	0	0	0	0	0	0
522-30min	0	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	81	46	8	0	164	293	76	0	0	0	7	0	178	26	0	0	0	0	0	0	0	2	3	2	0	0	0	200	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	16	4	0	31	0	0	22	37	0	0	214	0	0	3	0	7	20	2	1	0	0	0	18	0	265	0	5	0	0	0	0	3	0	11	1	0	0	0	0	0	0	15	41	0	16	1	8	0	0	0	0	0	8	3	0	45	24	0	5	0	4	37	0	0	0	0	0	0	3	0	2	0	0	0	0	0	12	0	0	0	0	3	0	4	4	7	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
522-60min	0	0	0	0	0	0	0	0	5	0	27	0	0	0	0	0	18	41	0	0	47	90	30	0	0	0	3	0	227	13	0	0	0	0	0	0	0	0	0	5	0	0	0	146	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	30	0	0	30	0	0	26	107	0	0	327	0	0	20	0	0	57	4	9	0	0	0	0	0	395	0	6	0	0	0	0	10	0	33	3	0	0	0	0	0	0	18	57	0	23	7	23	0	0	0	6	0	8	0	4	30	11	0	6	0	6	46	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	3	25	9	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
523-120min	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	21	42	0	0	37	157	49	0	9	0	7	0	250	19	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	18	0	2	0	0	0	0	0	0	0	70	0	0	15	0	0	12	0	0	0	237	0	0	0	0	0	43	0	7	0	0	0	10	0	424	0	2	0	0	0	0	0	5	26	0	0	0	0	0	0	0	12	38	0	6	25	21	0	0	0	0	0	4	0	0	85	15	0	5	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	39	0	0	3	0	3	0	0	0	0
523-60min	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	24	32	6	0	56	265	46	0	25	0	6	0	207	14	0	0	0	0	0	0	0	4	0	0	0	0	0	211	0	0	0	0	0	0	0	0	13	0	3	0	0	0	0	0	6	0	48	8	3	12	0	0	10	34	0	0	183	2	0	1	0	0	30	0	13	0	6	0	15	0	341	0	2	0	0	0	0	5	0	15	0	0	0	0	0	0	0	1	31	0	5	22	12	4	0	0	0	0	4	4	5	146	17	0	0	0	0	37	0	0	0	0	0	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	5	2	0	0	5	0	0	0	0	0	43	0	0	5	0	10	0	0	0	0
524-120min	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	88	8	20	0	85	394	115	0	8	0	94	0	124	20	0	0	0	0	0	0	0	13	0	0	0	0	0	402	0	0	0	0	0	0	0	0	17	0	6	0	0	4	0	0	4	0	0	4	0	8	0	0	11	0	0	0	83	22	0	8	0	24	15	0	0	0	0	0	3	0	186	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	16	16	0	20	2	8	0	0	0	0	0	5	1	1	78	11	0	6	0	0	18	0	4	0	0	0	0	0	7	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	3	0	5	0	0	0	0
524-30min	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	10	9	0	96	342	130	0	6	0	53	0	58	11	0	0	0	0	0	0	0	9	0	0	0	0	0	108	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	9	13	4	6	0	0	22	21	0	0	149	103	0	16	0	11	36	0	0	0	0	0	16	0	338	0	11	0	0	0	0	4	0	24	0	0	0	0	0	0	0	15	27	0	13	2	15	0	0	5	0	0	4	2	0	93	6	0	11	0	0	49	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	5	11	10	0	0	8	0	0	0	0	0	39	0	0	5	0	0	0	0	0	0
524-60min	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	107	8	17	0	45	382	79	0	11	0	116	0	152	15	0	0	1	0	0	0	0	26	0	0	0	0	0	471	3	0	0	4	0	0	0	0	5	0	7	0	0	1	0	0	6	0	0	2	0	3	0	0	14	0	0	0	69	49	0	0	0	14	12	0	0	0	0	0	4	0	157	0	2	0	0	0	0	4	0	7	0	0	0	0	0	0	0	3	14	0	9	2	3	0	0	0	0	0	0	0	4	101	14	0	3	0	0	29	0	6	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	28	0	0	2	0	0	0	0	0	0
527-30min	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	118	86	7	0	128	334	104	0	0	0	9	0	66	45	0	0	0	0	0	0	0	0	0	4	0	0	0	369	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	12	0	0	21	0	0	10	0	0	0	176	4	0	0	0	0	23	0	4	0	0	0	28	0	145	0	0	0	0	0	0	3	5	22	0	0	0	0	0	0	0	34	30	0	6	0	11	3	0	10	5	0	0	4	4	27	33	0	2	0	0	56	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
528-120min	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	56	68	9	0	67	180	45	0	0	0	49	0	52	20	0	0	0	0	0	0	0	3	0	2	0	0	0	69	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	12	0	11	0	0	21	0	0	0	337	28	0	26	0	17	66	0	6	0	0	0	24	0	435	0	7	0	0	0	0	4	0	42	0	0	0	0	0	5	0	20	55	0	18	0	0	0	0	0	0	0	5	3	4	68	16	0	8	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3	8	15	0	0	0	0	0	0	0	0	49	0	0	0	0	4	0	0	0	0
528-30min	0	0	0	0	0	0	0	0	2	0	13	0	0	3	0	0	115	47	25	0	154	294	141	0	0	0	79	0	66	41	0	0	0	0	0	0	0	2	0	0	0	0	0	157	0	0	0	0	0	0	0	0	15	0	0	0	1	2	1	0	0	0	1	5	2	6	0	0	7	0	0	0	182	9	0	6	0	14	20	0	0	0	0	0	5	0	210	0	0	0	0	0	0	0	0	20	3	0	0	0	0	0	0	22	33	0	31	1	5	0	0	4	0	3	4	4	3	110	33	0	3	0	0	44	0	0	0	0	0	0	6	0	2	0	1	0	0	0	9	0	0	0	0	0	0	1	3	13	0	0	0	0	0	0	0	0	31	0	0	3	4	6	0	0	0	0
528-60min	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	44	40	14	0	69	201	56	0	0	0	23	0	60	31	0	0	0	0	0	0	0	0	0	0	0	0	0	98	1	0	0	0	0	0	0	0	14	3	0	1	0	0	0	0	0	0	0	17	5	9	0	0	10	0	0	0	295	17	0	23	2	20	44	0	0	0	0	0	9	0	479	0	6	0	0	0	0	5	0	33	0	0	0	0	0	0	3	20	41	0	36	0	9	7	0	0	0	0	5	0	1	80	31	0	9	0	0	62	0	0	0	0	0	0	4	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	3	18	0	0	0	0	0	0	0	0	45	0	0	3	4	0	0	0	0	0
529-120min	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	78	49	2	0	23	300	34	0	0	0	173	0	142	28	0	0	0	0	0	0	0	43	0	4	0	0	0	378	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	16	19	0	0	0	0	8	30	0	0	80	17	0	0	0	19	3	0	0	0	0	0	18	0	67	0	8	0	0	0	0	21	2	12	0	0	0	0	0	4	0	8	15	0	27	14	7	4	0	0	0	5	4	2	0	157	12	0	11	22	0	13	0	6	0	0	16	0	0	0	19	2	0	0	0	0	0	0	0	0	0	1	0	4	19	6	0	0	12	0	0	0	0	0	34	0	2	5	0	2	0	0	0	0
529-30min	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	94	38	9	0	21	273	35	0	0	0	194	0	126	39	0	0	0	0	0	0	0	48	0	8	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	24	12	0	0	0	0	6	26	0	0	63	0	0	0	0	17	0	0	1	0	3	0	9	0	66	0	3	0	0	0	0	35	0	6	0	0	0	0	0	5	0	4	6	0	24	9	9	3	0	0	0	3	0	4	4	182	13	0	19	27	0	9	0	7	0	0	17	0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	17	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0
