sampleID	p_Euryarchaeota	p_Actinobacteria	p_Bacteroidetes	p_Cyanobacteria	p_Deferribacteres	p_Firmicutes	p_Fusobacteria	p_Patescibacteria	p_Proteobacteria	p_Tenericutes	p_Verrucomicrobia	k_Bacteria	k_Eukaryota	Unassigned
278-7-1h	0	9	849	0	38	936	0	0	189	4	0	2	0	0
305-7-1h	0	19	920	0	18	919	0	0	149	2	0	0	0	0
305-7-2h	0	32	939	0	3	987	0	0	64	0	0	2	0	0
305-7-3h	0	33	1049	0	1	909	0	0	30	5	0	0	0	0
245-7-2h	0	19	894	17	11	795	0	0	64	0	226	1	0	0
263-7-1h	0	19	552	5	40	1016	0	1	199	1	192	2	0	0
263-7-2h	0	41	502	3	12	1047	0	0	51	0	368	3	0	0
263-7-3h	0	29	755	6	16	852	0	1	42	0	322	4	0	0
279-7-1h	0	17	654	0	48	930	0	25	191	0	155	7	0	0
279-7-2h	0	25	661	3	4	911	0	24	130	0	269	0	0	0
279-7-3h	0	26	679	0	10	1002	0	15	130	0	162	3	0	0
306-7-1h	0	19	731	0	10	876	0	3	77	0	301	9	0	1
306-7-2h	0	22	764	2	2	823	0	3	58	0	352	1	0	0
306-7-3h	0	27	518	0	2	1056	0	5	42	0	376	1	0	0
321-2-150min	0	20	959	16	5	940	0	1	41	43	0	2	0	0
321-2-30min	0	11	1057	8	4	903	0	2	16	26	0	0	0	0
321-2-90min	0	10	977	4	4	943	0	0	36	53	0	0	0	0
330-2-120min	0	12	1005	16	1	918	0	3	28	44	0	0	0	0
330-2-30min	0	15	910	22	0	1031	0	1	15	33	0	0	0	0
330-2-90min	0	15	1076	17	0	859	0	2	16	42	0	0	0	0
346-2-30min	0	23	1060	6	1	892	0	2	15	28	0	0	0	0
346-2-90min	0	16	1013	4	0	933	0	2	37	22	0	0	0	0
348-2-120min	0	13	1113	7	0	805	0	2	46	40	0	1	0	0
348-2-30min	0	7	1086	13	2	858	0	0	25	35	0	1	0	0
348-2-90min	0	7	1064	7	0	891	0	0	23	35	0	0	0	0
355-2-150min	0	10	1045	9	2	889	0	0	38	34	0	0	0	0
355-2-30min	0	8	967	1	1	1008	0	3	15	24	0	0	0	0
355-2-90min	0	4	1040	3	1	939	0	3	17	20	0	0	0	0
357-2-150min	0	19	924	10	1	999	0	2	37	35	0	0	0	0
357-2-30min	0	22	951	6	1	989	0	2	23	33	0	0	0	0
357-2-90min	0	20	1008	8	0	942	0	3	16	30	0	0	0	0
363-2-150min	0	17	946	26	0	980	0	0	22	36	0	0	0	0
363-2-30min	0	36	911	36	0	983	0	0	28	33	0	0	0	0
363-2-90min	0	31	872	62	0	1002	0	9	26	25	0	0	0	0
368-2-120min	0	16	862	12	1	1103	0	2	12	19	0	0	0	0
368-2-30min	0	28	837	3	1	1131	0	3	12	12	0	0	0	0
368-2-90min	0	30	842	7	2	1081	0	2	37	26	0	0	0	0
424-2-120min	0	35	946	0	6	1002	0	0	18	20	0	0	0	0
424-2-30min	0	50	1025	0	0	923	0	1	20	8	0	0	0	0
424-2-90min	0	56	910	0	1	993	0	3	40	24	0	0	0	0
431-2-120min	0	54	879	6	3	1023	0	7	20	35	0	0	0	0
431-2-30min	0	95	892	7	1	965	0	9	38	19	0	1	0	0
431-2-90min	0	44	817	7	1	1044	0	7	49	58	0	0	0	0
438-2-150min	0	36	985	3	1	962	0	0	22	18	0	0	0	0
438-2-30min	0	30	855	3	9	1071	0	0	43	16	0	0	0	0
438-2-90min	0	50	1035	4	1	894	0	1	22	20	0	0	0	0
439-2-150min	0	33	887	1	0	1027	0	1	57	21	0	0	0	0
439-2-30min	0	75	877	8	1	979	0	11	68	8	0	0	0	0
439-2-90min	0	13	905	4	1	1028	0	1	36	39	0	0	0	0
440-2-120min	0	41	934	0	9	1010	0	0	12	20	0	1	0	0
440-2-30min	0	53	957	2	0	978	0	4	15	18	0	0	0	0
440-2-90min	0	28	1008	1	1	952	0	1	13	23	0	0	0	0
448-2-120min	0	21	885	12	0	1034	0	4	25	42	0	4	0	0
448-2-30min	0	28	867	11	0	1087	0	3	4	27	0	0	0	0
448-2-90min	0	23	937	10	1	1007	0	2	10	37	0	0	0	0
458-2-150min	0	16	691	3	3	1249	0	2	33	30	0	0	0	0
458-2-30min	0	27	1247	3	0	689	0	4	31	26	0	0	0	0
458-2-60min	0	19	994	7	0	922	0	0	42	43	0	0	0	0
459-2-120min	0	20	993	11	2	940	0	1	21	39	0	0	0	0
459-2-30min	0	27	1189	13	0	765	0	3	14	16	0	0	0	0
